Date,Platform,Amount Spent,Impressions,Reach,Link Clicks,Landing View,Add to Carts,Initial Checkpoint,Purchases,Purchase Value,Frequency
2025-08-31,tiktok,50.34,10665,6767,633,0,0,0,0,0,1.58
2025-09-01,tiktok,50.15,7600,5773,675,0,0,0,0,0,1.32
2025-09-02,tiktok,50.59,8386,6373,789,0,0,0,0,0,1.32
2025-09-03,tiktok,602.48,209623,105935,11042,0,0,0,0,0,1.98
2025-09-04,tiktok,605.93,214314,122515,12883,0,0,0,0,0,1.75
2025-09-05,tiktok,597.66,201166,108868,11591,0,0,0,0,0,1.85
2025-09-06,tiktok,593.93,204375,118912,12824,0,0,0,0,0,1.72
2025-09-07,tiktok,603.6,167353,95239,10651,0,0,0,0,0,1.76
2025-09-08,tiktok,604.45,188470,103842,12478,0,0,0,0,0,1.81
2025-09-09,tiktok,607.69,153891,84665,10617,0,0,0,0,0,1.82
2025-09-10,tiktok,488.19,147003,72181,8429,0,0,0,0,0,2.04
2025-09-11,tiktok,506.05,119189,73818,8235,0,0,0,0,0,1.61
2025-09-12,tiktok,500.59,110508,74790,8519,0,0,0,0,0,1.48
2025-09-13,tiktok,493.36,118828,84104,8976,0,0,0,0,0,1.41
2025-09-14,tiktok,513.95,144200,101206,9105,0,0,0,0,0,1.42
2025-09-15,tiktok,817.33,181794,132535,12273,1724,4,15,0,0,1.37
2025-09-16,tiktok,908,164642,114190,10727,2001,2,16,2,466.5,1.44
2025-09-17,tiktok,864.62,138067,95471,8973,1522,6,10,0,0,1.45
2025-09-18,tiktok,848.16,142998,95656,7648,294,7,8,1,351,1.49
2025-09-19,tiktok,841.71,177799,124617,8581,320,9,13,2,820.5,1.43
2025-09-20,tiktok,806.23,137316,94328,5977,358,2,5,0,0,1.46
2025-09-21,tiktok,562.94,85216,54342,3101,331,1,2,0,0,1.57
2025-09-22,tiktok,292.31,19690,9359,816,595,15,10,1,535.5,2.1
2025-09-23,tiktok,400.99,15619,7332,953,789,1,5,1,535.5,2.13
2025-09-24,tiktok,357.25,15683,6267,1922,1316,5,12,1,535.5,2.5
2025-09-25,tiktok,471.53,35017,19008,2001,1149,4,9,2,480.5,1.84
2025-09-26,tiktok,655.1,16188,10795,848,500,7,10,2,1.31,1.5
2025-09-27,tiktok,606.26,12136,8307,637,589,5,4,1,595,1.46
2025-09-28,tiktok,598.17,11692,8602,488,444,16,15,4,1.65,1.36
2025-09-29,tiktok,635.68,14797,11718,482,411,22,24,5,3.1,1.26
2025-09-30,tiktok,584.38,15644,13270,589,475,18,22,5,2.15,1.18
2025-10-01,tiktok,1193.88,241374,192008,2481,1174,19,17,4,952,1.26
2025-10-02,tiktok,1367.37,290206,205001,3351,2183,6,4,0,0,1.42
2025-10-03,tiktok,907.11,131185,96560,2574,1543,14,33,2,796.5,1.36
2025-10-04,tiktok,902.68,165881,103919,2744,1942,0,4,0,0,1.6
2025-10-05,tiktok,897.74,289643,186205,2748,1751,12,7,2,1130.5,1.56
2025-10-06,tiktok,1052.27,408784,279873,4000,1426,8,11,1,535.5,1.46
2025-10-07,tiktok,458.92,203630,142779,1765,856,3,1,0,0,1.43
2025-10-08,tiktok,442.28,154758,94387,1349,961,14,13,0,0,1.64
2025-10-09,tiktok,456.47,181883,104868,4310,982,7,9,1,595,1.73
2025-10-10,tiktok,454.43,145089,83155,1431,667,20,30,6,537.65,1.74
2025-10-11,tiktok,472.81,106342,61519,1691,754,12,17,1,349.2,1.73
2025-10-12,tiktok,391.35,53486,35178,2372,354,2,11,0,0,1.52
2025-10-13,tiktok,359.05,60145,42092,5289,0,0,0,0,0,1.43
2025-10-14,tiktok,338.49,68088,52237,6790,0,0,0,0,0,1.3
2025-10-15,tiktok,320.81,55463,41400,4486,0,0,0,0,0,1.34
2025-10-16,tiktok,283.25,51602,39634,5984,2,1,1,0,0,1.3
2025-10-17,tiktok,299.59,44553,33504,4057,0,0,0,0,0,1.33
2025-10-18,tiktok,239.95,42694,33520,3376,0,0,0,0,0,1.27
2025-10-19,tiktok,322.99,49571,38094,3741,0,0,0,0,0,1.3
2025-10-20,tiktok,334.71,68871,57220,8030,0,0,0,0,0,1.2
2025-10-21,tiktok,309.84,40748,29235,3278,0,0,0,0,0,1.39
2025-10-22,tiktok,305.72,50849,39199,4204,0,0,0,0,0,1.3
2025-10-23,tiktok,298.35,47770,35649,3771,0,0,0,0,0,1.34
2025-10-24,tiktok,315.5,43794,32485,3511,4,1,1,0,0,1.35
2025-10-25,tiktok,210.49,32881,25218,2759,1,0,0,0,0,1.3
2025-10-26,tiktok,309.29,44259,34785,3817,1,0,0,0,0,1.27
2025-10-27,tiktok,272.16,45145,35506,4131,0,0,0,0,0,1.27
2025-10-28,tiktok,88.95,12091,9385,1049,0,0,0,0,0,1.29
2025-10-29,tiktok,93.25,15229,12067,1418,0,0,0,0,0,1.26
